component	mokee_path	stock_path	mokee_sha256	stock_sha256	abi	static_evidence	disposition	risk	runtime_test
boot-dtb25	boot.img:dtb/25	stock-boot.img:dtb/25	6edb500870102d4607e12e1c3f3470a79cd3f65c9a5130d237c39ef4ba803fe8	cee146b6093e34d2997ca21314cd25d9a7d321429b695dff6a6bae70ad178d5e	DTB	ESS9018 I2C node, regulators, GPIOs, QUAT MI2S pinctrl and sound-card routing are semantically identical	retain-mokee-first	medium	confirm es9018 probe, device nodes, QUAT route and kernel logs
audio-hal-32	system/vendor/lib/hw/audio.primary.msm8994.so	lib/hw/audio.primary.msm8994.so	701019bd222052051b89e00fbe0aca1a0aee4aad1fd0959a259a9f013e69af47	0b8e3f6290532499ac19c881fc8cbe36c8212f3dd83fe4aa3527ff6265fe038a	ELF32 ARM	MoKee selects I2S XML but lacks platform_set_hifi_property, persist.audio.hifi and QUAT bitwidth/rate strings present in stock	candidate-minimal-stock-port	high	baseline MoKee mapping, property trace, route, rate, bitwidth, crash and namespace evidence
audio-hal-64	system/vendor/lib64/hw/audio.primary.msm8994.so	lib64/hw/audio.primary.msm8994.so	6939be82ada44c5772dcfe6977443eccdc03ee2bc85199e412112ebeefe47ee0	4b3fb296226c77219dc44695512f7743d708315cec5c756a88ee6e9077385de1	ELF64 AArch64	Same control gap as 32-bit HAL; stock golden runtime used 32-bit audioserver/HAL	retain-mokee-first	high	verify actual process ABI and loaded HAL before any replacement
mixer-paths	system/vendor/etc/mixer_paths.xml	etc/mixer_paths.xml	13db0e6e5bd04e02c36a6b84e815f492d730e107866b91e605ee653364084bb4	13db0e6e5bd04e02c36a6b84e815f492d730e107866b91e605ee653364084bb4	data	Byte-identical	retain-mokee	low	capture baseline and headphone mixer state
mixer-paths-i2s	system/vendor/etc/mixer_paths_i2s.xml	etc/mixer_paths_i2s.xml	228860d942d0fb561676cf8967c158eecc7815988ea049a4d2fb8602d3beb377	ed2f1d41fbbd11bb788da8a1e8c9ce36c8940e8da913f51ee7e7feaff70b81dd	data	Semantic content identical; comments differ	retain-mokee	low	confirm QUAT_MI2S_RX Audio Mixer MultiMedia1 changes on headphone playback
audio-platform-i2s	system/vendor/etc/audio_platform_info_i2s.xml	etc/audio_platform_info_i2s.xml	06ba207478720a4c02f7a66066da67a167d3102698672056910f4a4e6571148d	10487b79a4aefe9d68e5bca171e6d1ada406a962efedd05b064065b107922e60	data	Semantic content identical; comments differ	retain-mokee	low	confirm HAL selects I2S file and target ACDB IDs
audio-platform-default	system/vendor/etc/audio_platform_info.xml	etc/audio_platform_info.xml	8fa544779068490bcc81bd264380d508fe831b06e2023ad9381be79dedffe523	6fdf7373ed35892c925451b5f85ff8593403bd5efc5a902eb10ebda4237e1917	data	MoKee adds backend names; stock adds protected-speaker-and-headphones ACDB ID 10	retain-mokee-first	medium	compare speaker, headphone and combined route selection
audio-policy	system/vendor/etc/audio_policy_configuration.xml	etc/audio_policy_configuration.xml	b299109dceeb1ffce8b022e2213dc0cced1472e2cbc5e6486d4c36687d3d6d03	7fc1f1fa4102597c090bc69a5ff104f11d1417d851bd9b5d7dfdae35552da22f	data	Android 10 policy removes FM, changes direct PCM and BT routing, and uses XML includes	retain-mokee	critical	validate offload, wired headset, Bluetooth absence/presence and AudioPolicy decisions
forte-bluetooth-acdb	system/etc/acdbdata/Forte/Forte_Bluetooth_cal.acdb	etc/acdbdata/Forte/Forte_Bluetooth_cal.acdb	155a71a002691aeac0c81d60aab9cd7ef4294f72e359db66a584927633e0e9ac	155a71a002691aeac0c81d60aab9cd7ef4294f72e359db66a584927633e0e9ac	data	Byte-identical	retain-mokee	low	loader log and BT route only if BT remains in product
forte-general-acdb	system/etc/acdbdata/Forte/Forte_General_cal.acdb	etc/acdbdata/Forte/Forte_General_cal.acdb	77aeda0eb12f12937ec17d08831b1cc3fa31da7e072086ed8a1f5e7ecb6ba3cc	77aeda0eb12f12937ec17d08831b1cc3fa31da7e072086ed8a1f5e7ecb6ba3cc	data	Byte-identical	retain-mokee	low	ACDB load success
forte-global-acdb	system/etc/acdbdata/Forte/Forte_Global_cal.acdb	etc/acdbdata/Forte/Forte_Global_cal.acdb	5918ccc28f157967f60b275904e7b57d27d1ac6e037eda0859edc1c3aea256f4	5918ccc28f157967f60b275904e7b57d27d1ac6e037eda0859edc1c3aea256f4	data	Byte-identical	retain-mokee	low	ACDB load success
forte-handset-acdb	system/etc/acdbdata/Forte/Forte_Handset_cal.acdb	etc/acdbdata/Forte/Forte_Handset_cal.acdb	5134aaafef9e448b98fb00affbf3913385c152771d878dbb0ca50eaab22c7c74	5134aaafef9e448b98fb00affbf3913385c152771d878dbb0ca50eaab22c7c74	data	Byte-identical	retain-mokee	low	not required for audio-player profile; retain through baseline
forte-hdmi-acdb	system/etc/acdbdata/Forte/Forte_Hdmi_cal.acdb	etc/acdbdata/Forte/Forte_Hdmi_cal.acdb	0be6579e318b8edc26f85d530e203b3c021aaa8c678760fad3b2e6ae6892a3f5	0be6579e318b8edc26f85d530e203b3c021aaa8c678760fad3b2e6ae6892a3f5	data	Byte-identical	retain-mokee-first	low	remove only after optional-hardware closure
forte-headset-acdb	system/etc/acdbdata/Forte/Forte_Headset_cal.acdb	etc/acdbdata/Forte/Forte_Headset_cal.acdb	1a29d77da513f5824843d0bb6cc8c67f9744ebe74741cf13c6bea2dbb6644065	1a29d77da513f5824843d0bb6cc8c67f9744ebe74741cf13c6bea2dbb6644065	data	Byte-identical; central HiFi calibration asset	retain-mokee	critical	fixed-track wired playback and route/ACDB evidence
