component_id	layer	selector	classification	generation2_action	confidence	evidence	failure_if_missing	next_gate
primary-hal-32	HAL	/system/lib/hw/audio.primary.msm8994.so	must-retain	extract-stock	high	mapped-by-32-bit-audioserver+selected-hifi-headphones	no-primary-output-or-ESS-route	hash-and-H1-route-test
primary-hal-64	HAL	/system/lib64/hw/audio.primary.msm8994.so	support-retain	preserve-first-build	medium	stock-counterpart-not-mapped+optional-64-bit-plugins-incomplete	future-64-bit-audioserver-incompatible	lock-userspace-bitness-before-removal
audioserver-framework	framework	/system/bin/audioserver;/system/lib/libaudioflinger.so;/system/lib/libaudiopolicy*.so	must-retain	rebuild-source	high	running-host+runtime-maps+Binder-contract	Android-audio-service-unavailable	boot+Spotify+notification-test
framework-elf-closure	framework	private-graph:audio-elf-dependencies-v0.2.tsv	must-retain	rebuild-source	high	293-ELFs+2328-resolved-DT_NEEDED-edges	link-or-runtime-loader-failure	rebuild-from-matching-platform-source
audio-policy	configuration	/system/etc/audio_policy.conf	must-retain	extract-stock	high	declares-deep-buffer-and-primary-output	no-valid-output-profile	AudioPolicy-dump-diff
hifi-platform-config	configuration	/system/etc/audio_platform_info_i2s.xml	must-retain	extract-stock	high	HAL-selects-I2S-config-for-HiFi	wrong-sound-device-or-calibration-map	H1-hifi-headphones-route
hifi-mixer-config	configuration	/system/etc/mixer_paths_i2s.xml	must-retain	extract-stock	high	QUAT_MI2S-MultiMedia1-runtime-transition	ESS-I2S-route-does-not-open	H1-and-H0-after-mixer-diff
default-platform-config	configuration	/system/etc/audio_platform_info.xml;/system/etc/mixer_paths.xml	support-retain	preserve-first-build	high	non-HiFi-fallback+speaker-and-system-sound-routes	fallback-and-maintenance-audio-regression	speaker+headphone-insert-regression
policy-xml-counterparts	configuration	/system/etc/audio_policy_configuration.xml;/system/etc/audio_policy_volumes.xml	support-retain	preserve-first-build	medium	stock-present+framework-version-dependent	volume-or-policy-parser-regression	identify-active-policy-parser
headset-acdb	calibration	/system/etc/acdbdata/Forte/Forte_Headset_cal.acdb	must-retain	extract-stock	high	headset-profile+HAL-ACDB-loader+live-label	wrong-or-missing-headset-calibration	fixed-track-audio-analysis
