property	current_value	consumer_or_writer	role	classification	evidence	second_generation_policy
persist.audio.hifi	true	audio.primary.msm8994.so-read-and-set	select-HiFi-I2S-route	required-playback	HAL-strings+H1-hifi-headphones	retain-typed-audio-property
persist.audio.hifi.volume	40	audio.primary.msm8994.so-read	HiFi-output-level	required-playback	HAL-strings+live-property	retain-with-safe-default
ro.audio.hifi	true	unknown-MIUI-framework	advertise-device-HiFi-capability	conditional-feature	live-property-no-HAL-string	retain-first-build-then-trace
audio_hal.period_size	192	audio.primary.msm8994.so+libnative_audio_latency_jni.so	PCM-period-size	current-path	binary-strings+live-property	retain-baseline-value
audio.deep_buffer.media	true	libaudiopolicymanager*.so	allow-deep-buffer-media	current-path	binary-strings+H1-deep-buffer	retain-baseline-value
audio.offload.buffer.size.kb	32	audio.primary.msm8994.so	offload-buffer-size	conditional-feature	HAL-string+live-property	do-not-tune-before-offload-A-B
audio.offload.gapless.enabled	true	audio.primary.msm8994.so	gapless-offload	conditional-feature	HAL-string+live-property	do-not-tune-before-offload-A-B
audio.offload.multiple.enabled	false	audio.primary.msm8994.so	multiple-offload-sessions	conditional-feature	HAL-string+live-property	do-not-tune-before-offload-A-B
audio.offload.disable	0	audio_policy.default.so+libaudiopolicymanager*.so	global-offload-gate	conditional-feature	binary-strings+live-property	do-not-tune-before-offload-A-B
audio.offload.min.duration.secs	15	audio_policy.default.so+libaudiopolicymanager*.so	minimum-offload-duration	conditional-feature	binary-strings+live-property	do-not-tune-before-offload-A-B
audio.offload.pcm.16bit.enable	true	libaudiopolicymanager.so	PCM16-offload-capability	conditional-feature	binary-string+live-property	do-not-tune-before-offload-A-B
audio.offload.pcm.24bit.enable	true	libaudiopolicymanager.so	PCM24-offload-capability	conditional-feature	binary-string+live-property	do-not-tune-before-offload-A-B
audio.offload.track.enable	false	libaudiopolicymanager.so+libavenhancements.so	track-offload-gate	conditional-feature	binary-strings+live-property	do-not-tune-before-offload-A-B
persist.audio.fluence.*	mixed	audio.primary.msm8994.so	voice-call-and-recording-mic-processing	product-excluded	HAL-strings+no-mic-product-goal	omit-after-no-recording-gate
ro.qc.sdk.audio.*	fluence;false	audio.primary.msm8994.so+libaudiopolicymanager.so	Qualcomm-voice-and-surround-capabilities	product-excluded	binary-strings+live-properties	omit-after-no-recording-gate
use.voice.path.for.pcm.voip	true	audio.primary.msm8994.so+libaudiopolicymanager.so	VoIP-voice-routing	product-excluded	binary-strings+live-property	omit-after-no-telephony-gate
audio.dolby.ds2.*	true	consumer-not-found-in-extracted-audio-closure	Dolby-feature-flags	stale-observed	properties-present+declared-Dolby-libraries-absent	remove-with-stale-Dolby-config
qcom.audio.init	unobserved	init.qcom.audio.sh-writer	legacy-Bluetooth-UCM-completion	stale-observed	script-writes+no-init-invocation-found	remove-after-boot-reference-rescan
sys.audio.init	unobserved	consumer-not-found	MIUI-audio-init-namespace	stale-observed	property_context-only	remove-after-full-property-scan
