component	path_or_name	source_domain	object_type	class	access_or_transition	evidence	status	second_generation_decision
audioserver-start	/system/bin/audioserver	init	audioserver_exec	process	type_transition-to-audioserver	stock-policy+live-label	confirmed-runtime	recreate-dedicated-domain
audiod-start	/system/bin/audiod	init	audiod_exec	process	type_transition-to-audiod	stock-policy+live-label	confirmed-runtime	recreate-and-remove-domain_deprecated-after-tests
adsprpcd-start	/system/bin/adsprpcd	init	adsprpcd_exec	process	type_transition-to-adsprpcd	stock-policy+live-label	confirmed-runtime	recreate-and-remove-domain_deprecated-after-tests
rfs-access-start	/system/bin/rfs_access	init	rfs_access_exec	process	type_transition-to-rfs_access	stock-policy+live-label	confirmed-runtime	recreate-and-remove-domain_deprecated-after-tests
audio-service	audio	system_server;untrusted_app	audio_service	service_manager	add-find-via-system_server_service-and-client-find-via-app_api_service	stock-policy+service_contexts	confirmed-static	retain-compatible-service-contract
audio-framework-services	media.audio_flinger;media.audio_policy;media.sound_trigger_hw	audioserver	audioserver_service	service_manager	add-find-and-app-client-find	stock-policy+service_contexts	confirmed-static	retain-compatible-binder-contract
alsa-control	/dev/snd/controlC0	audioserver	audio_device	chr_file	read-write-ioctl-open	stock-policy+live-label+open-fd	confirmed-runtime	retain-and-narrow-to-required-nodes-if-compatible
alsa-pcm	/dev/snd/pcmC0D0p	audioserver	audio_device	chr_file	read-write-ioctl-open	stock-policy+live-label+H1-open-fd+active-hw_params	confirmed-runtime	retain
alsa-hwdep	/dev/snd/hwC0D1000	audioserver	audio_device	chr_file	write-open	stock-policy+live-label+open-fd	confirmed-runtime	retain
audio-calibration-device	/dev/msm_audio_cal	audioserver	audio_device	chr_file	read-write-ioctl-open	stock-policy+live-label+open-fd	confirmed-runtime	retain
audio-rtac-device	/dev/msm_rtac	audioserver	audio_device	chr_file	read-write-ioctl-open	stock-policy+live-label+open-fd	confirmed-runtime	retain-until-playback-and-calibration-tests-pass
hardware-effects-device	/dev/msm_hweffects	audioserver	audio_device	chr_file	read-write-ioctl-open	stock-policy+live-label	confirmed-static	conditional-retain-until-effect-tests
audio-calibration-data	/data/misc/audio(/.*)?	audioserver	audio_data_file	dir-file-sock_file	manage	stock-policy+file_contexts+live-label	confirmed-runtime	retain-compatible-data-label
stock-audio-config	/system/etc/acdbdata;audio-config-files	audioserver	system_file	dir-file	read-open	stock-policy+live-label+open-fd	confirmed-runtime	create-narrower-audio-config-type-if-blob-compatible
shared-memory	/dev/ion	audioserver	ion_device	chr_file	read-ioctl-open	stock-policy+live-label+open-fd	confirmed-runtime	retain
audio-properties	persist.audio.*;dolby.audio.*;sys.audio.init	audioserver	audio_prop	property_service	set	stock-policy+property_contexts	confirmed-static	retain-only-properties-proven-used
audiod-audio-device	/dev/msm_*;/dev/snd/*	audiod	audio_device	chr_file	read-write-ioctl-open	stock-policy+live-domain	supporting-observed	retain-for-first-compatible-build-then-trace
audiod-binder	audioserver	audiod	audioserver	binder	call-transfer-fd-use	stock-policy+live-domains	confirmed-static	retain-compatible-contract
adsp-rpc	/dev/adsprpc-smd	adsprpcd	qdsp_device	chr_file	read-ioctl-open	stock-policy+live-label+open-fd	confirmed-runtime	retain
rfs-uio	/dev/uio1;/dev/uio2;/dev/uio3	rfs_access	uio_device	chr_file	read-write-ioctl-open	stock-policy+live-label+open-fd	confirmed-runtime	retain-until-adsp-cold-boot-and-recovery-tests
rfs-firmware	/firmware/image/adsp.mdt;rfs-data-paths	rfs_access	firmware_file;rfs_file;rfs_shared_hlos_file;rfs_system_file	file-dir	read-or-manage-by-type	stock-policy+live-label	confirmed-runtime	retain-required-rfs-contract
avtimer	/dev/avtimer	init;radio	avtimer_device	chr_file	read-open-or-read-ioctl	stock-policy+file_contexts	conditional	not-an-audioserver-permission-in-stock-retain-only-if-node-and-client-needed
dts-data	/data/misc/dts(/.*)?	mediaserver;system_app	dts_data_file	dir-file	manage-or-read	stock-policy+file_contexts+live-label	supporting-observed	do-not-attribute-to-absent-dts-daemons
dts-declarations	/system/bin/dts_configurator;/system/bin/dts_eagle_service	dtsconfigurator;dtseagleservice	corresponding-exec-types	process	declared-by-init-but-executables-absent	stock-init+live-filesystem+stock-system-tree	stale-observed	candidate-removal-after-build-and-reboot-validation
audio-pp-data	/data/misc/audio_pp(/.*)?	mediaserver;system_app	audio_pp_data_file	dir-file	manage-or-read	stock-policy+file_contexts+path-absent	stale-observed	candidate-removal-after-effect-regression-tests
